"index","timeBlock","Jan","Feb","Mar","Apr","May","Jun","July","Aug","Sep","Oct","Nov","Dcb"
"20","20","0.005826354026794434","0.006082773208618164","0.005819737911224365","0.005722343921661377","0.005440175533294678","0.002499818801879883","0.005051374435424805","0.005003571510314941","0.0050109028816223145","0.005498170852661133","0.004894167184829712","0.0029779374599456787"
"21","21","0.005599260330200195","0.005582332611083984","0.005416065454483032","0.0029373764991760254","0.003296494483947754","0.006091415882110596","0.002261936664581299","0.002387017011642456","0.004904806613922119","0.005212754011154175","0.005775392055511475","0.006135791540145874"
"22","22","0.00528639554977417","0.005275696516036987","0.005171149969100952","0.004651963710784912","0.003943920135498047","0.006097525358200073","0.004740357398986816","0.004668295383453369","0.002003788948059082","0.005043298006057739","0.005397617816925049","0.005625516176223755"
"23","23","0.005042910575866699","0.0036130547523498535","0.004967868328094482","0.00738602876663208","0.007529556751251221","0.005835205316543579","0.006060123443603516","0.005726516246795654","0.004597693681716919","0.00488358736038208","0.004316240549087524","0.0052634477615356445"
"24","24","0.0031205415725708008","0.0025078654289245605","0.0048150718212127686","0.007466048002243042","0.007698655128479004","0.003771066665649414","0.0059909820556640625","0.005208194255828857","0.005842268466949463","0.003534376621246338","0.0023702383041381836","0.00325775146484375"
"25","25","0.003022611141204834","0.0061789751052856445","0.002845257520675659","0.0018004179000854492","0.0014668107032775879","0.003284633159637451","0.00588420033454895","0.004925042390823364","0.005300790071487427","0.0022203028202056885","0.005610108375549316","0.003106057643890381"
"26","26","0.0058536529541015625","0.005607932806015015","0.002925395965576172","0.00837099552154541","-0.00023382902145385742","0.006390094757080078","0.00575566291809082","0.002024352550506592","0.004888743162155151","0.00590825080871582","0.005491793155670166","0.005905747413635254"
"27","27","0.005141109228134155","0.005222320556640625","0.006029009819030762","0.003910422325134277","0.005205810070037842","0.005514919757843018","0.0010319054126739502","0.004320323467254639","0.003481924533843994","-0.001259833574295044","0.004918515682220459","0.005171686410903931"
"28","28","0.0046883225440979","0.005222290754318237","0.005527317523956299","0.00859522819519043","0.00605890154838562","0.0038588345050811768","0.011209815740585327","0.005606293678283691","0.001797497272491455","0.007270097732543945","0.00455048680305481","0.004706680774688721"
"29","29","0.004389047622680664","-0.0027199089527130127","0.0047528743743896484","0.005685567855834961","0.005301684141159058","-0.0016057491302490234","0.004275977611541748","0.005026698112487793","0.0056056976318359375","-0.0005747675895690918","0.0016059279441833496","0.0022276341915130615"
"30","30","-0.05761224031448364","-0.05938433110713959","-0.05760383605957031","-0.05188608169555664","-0.05996514856815338","-0.06280015408992767","-0.057092174887657166","-0.06064854562282562","-0.05652563273906708","-0.05406418442726135","-0.05931276082992554","-0.05815781652927399"
"31","31","-0.03581523895263672","-0.03402137756347656","-0.032842397689819336","-0.031476378440856934","-0.036905497312545776","-0.035554349422454834","-0.025973230600357056","-0.038406193256378174","-0.03304591774940491","-0.060231372714042664","-0.05932246148586273","-0.032890379428863525"
"32","32","-0.018313080072402954","-0.02112165093421936","-0.019599467515945435","-0.01407557725906372","-0.01713547110557556","-0.020169347524642944","-0.014102071523666382","-0.019057482481002808","-0.019095927476882935","-0.017359226942062378","-0.02833998203277588","-0.022261768579483032"
